Site,Treatment,Colony,Date,Mass,Brood,Framesbees,Updatedbrood
Uthe,Soybean,1,5/22/16,6.15,42,3.5,71568
Uthe,Soybean,2,5/22/16,6.1,62.5,3.5,106500
Uthe,Soybean,3,5/22/16,10.4,101,4,172104
Uthe,Soybean,4,5/22/16,4.55,86.5,3,147396
Ontario,Soybean,5,5/22/16,2.85,32,2.5,54528
Ontario,Soybean,6,5/22/16,6.7,56,5,95424
Ontario,Soybean,7,5/22/16,4.1,49,2.5,83496
Ontario,Soybean,8,5/22/16,7,67,3,114168
Tracy 3,Soybean,9,5/22/16,3.35,38,3,64752
Tracy 3,Soybean,10,5/22/16,4.6,58,5,98832
Tracy 3,Soybean,11,5/22/16,5.45,60,4,102240
Tracy 3,Soybean,12,5/22/16,4.05,36,5,61344
Haglund 1,Soybean,13,5/22/16,5.95,12.5,2,21300
Haglund 1,Soybean,14,5/22/16,5.55,59,6,100536
Haglund 1,Soybean,15,5/22/16,10.9,94.5,7,161028
Haglund 1,Soybean,16,5/22/16,6.15,10.5,5.5,17892
Tracy 1,Soybean,17,5/22/16,4.8,37.5,3,63900
Tracy 1,Soybean,18,5/22/16,3.55,7,2.5,11928
Tracy 1,Soybean,19,5/22/16,6.45,83,4,141432
Tracy 1,Soybean,20,5/22/16,5.35,10,3,17040
Ivis,Soybean,21,5/22/16,4.85,25,2.5,42600
Ivis,Soybean,22,5/22/16,5.3,47,2.5,80088
Ivis,Soybean,23,5/22/16,4.45,19,1.5,32376
Ivis,Soybean,24,5/22/16,9.05,133,7,226632
East Dairy,Soybean,25,5/22/16,6.1,71.5,3.5,121836
East Dairy,Soybean,26,5/22/16,6,76,4.5,129504
East Dairy,Soybean,27,5/22/16,4.3,56,4,95424
East Dairy,Soybean,28,5/22/16,7.7,97.8,5.5,166651.2
Curtiss,Soybean,29,5/22/16,5.55,0,3.5,0
Curtiss,Soybean,30,5/22/16,6.65,37,6,63048
Curtiss,Soybean,31,5/22/16,4.85,73,3,124392
Curtiss,Soybean,32,5/22/16,7.75,56.5,7,96276
Oakland,Soybean,33,5/22/16,4.55,21,3,35784
Oakland,Soybean,34,5/22/16,5.85,40,4.5,68160
Oakland,Soybean,35,5/22/16,4.9,9,3,15336
Oakland,Soybean,36,5/22/16,4.95,46,4,78384
Kostelnick,Soybean,37,5/22/16,5.1,47.5,5,80940
Kostelnick,Soybean,38,5/22/16,6.15,83.5,6,142284
Kostelnick,Soybean,39,5/22/16,6.55,0,3,0
Kostelnick,Soybean,40,5/22/16,5.55,67.5,5,115020
7 Pines,CSA,41,5/22/16,5.65,23,4,39192
7 Pines,CSA,42,5/22/16,7.9,87,5.5,148248
7 Pines,CSA,43,5/22/16,7.85,101,5,172104
7 Pines,CSA,44,5/22/16,8.55,26,4,44304
Black Cat,CSA,45,5/22/16,4.55,57.5,3.5,97980
Black Cat,CSA,46,5/22/16,6.35,70,5,119280
Black Cat,CSA,47,5/22/16,8.05,66,7.5,112464
Black Cat,CSA,48,5/22/16,6.55,19,3,32376
River Ridge,CSA,49,5/22/16,4.5,56,2.5,95424
River Ridge,CSA,50,5/22/16,5.45,51,2.5,86904
River Ridge,CSA,51,5/22/16,7.2,68,4,115872
River Ridge,CSA,52,5/22/16,6.75,21,5,35784
Mustard Seed,CSA,53,5/22/16,7.1,65,5,110760
Mustard Seed,CSA,54,5/22/16,3.1,28,1,47712
Mustard Seed,CSA,55,5/22/16,7,47,4,80088
Mustard Seed,CSA,56,5/22/16,8.55,85.5,6,145692
Berry Patch Farm,CSA,57,5/22/16,6,30.5,4,51972
Berry Patch Farm,CSA,58,5/22/16,6.2,32,7,54528
Berry Patch Farm,CSA,59,5/22/16,9.75,63.5,3.5,108204
Berry Patch Farm,CSA,60,5/22/16,6.25,97,7.5,165288
Uthe,Soybean,1,6/7/16,4.75,16.5,4,28116
Uthe,Soybean,2,6/7/16,7.95,168,10,286272
Uthe,Soybean,3,6/7/16,13.5,204,10,347616
Uthe,Soybean,4,6/7/16,4.35,55.5,5.5,94572
Ontario,Soybean,5,6/7/16,3.5,98,3,166992
Ontario,Soybean,6,6/7/16,8.4,183,10,311832
Ontario,Soybean,7,6/7/16,4.4,67,7,114168
Ontario,Soybean,8,6/7/16,6.85,175,9,298200
Tracy 3,Soybean,9,6/7/16,2.65,26,2,44304
Tracy 3,Soybean,10,6/7/16,4.1,13,4,22152
Tracy 3,Soybean,11,6/7/16,4.5,79,5.5,134616
Tracy 3,Soybean,12,6/7/16,3.4,38,2.5,64752
Haglund 1,Soybean,13,6/7/16,6.1,129,2,219816
Haglund 1,Soybean,14,6/7/16,6.7,191,6,325464
Haglund 1,Soybean,15,6/7/16,9.5,87,5,148248
Haglund 1,Soybean,16,6/7/16,7.85,127,8,216408
Tracy 1,Soybean,17,6/7/16,5.65,121,4.5,206184
Tracy 1,Soybean,18,6/7/16,4.15,47,3,80088
Tracy 1,Soybean,19,6/7/16,7.45,272,12,463488
Tracy 1,Soybean,20,6/7/16,5.15,0,0,0
Ivis,Soybean,21,6/7/16,4.9,99,5,168696
Ivis,Soybean,22,6/7/16,6.15,123,10,209592
Ivis,Soybean,23,6/7/16,5.25,142,3.5,241968
Ivis,Soybean,24,6/7/16,12.1,246.22,12,419558.88
East Dairy,Soybean,25,6/7/16,7.65,170.5,10.5,290532
East Dairy,Soybean,26,6/7/16,7.5,192,9,327168
East Dairy,Soybean,27,6/7/16,5.05,59,6,100536
East Dairy,Soybean,28,6/7/16,8.85,180.5,14.5,307572
Curtiss,Soybean,29,6/7/16,5.45,62,3,105648
Curtiss,Soybean,30,6/7/16,9.4,246,11,419184
Curtiss,Soybean,31,6/7/16,6.2,200,9,340800
Curtiss,Soybean,32,6/7/16,5.9,88,12,149952
Oakland,Soybean,33,6/7/16,6.55,176.5,6,300756
Oakland,Soybean,34,6/7/16,8.25,93.5,6,159324
Oakland,Soybean,35,6/7/16,4.45,58.5,3,99684
Oakland,Soybean,36,6/7/16,5.45,186.5,5.5,317796
Kostelnick,Soybean,37,6/7/16,4.9,132,8,224928
Kostelnick,Soybean,38,6/7/16,6.45,180,12,306720
Kostelnick,Soybean,39,6/7/16,6.2,94,6,160176
Kostelnick,Soybean,40,6/7/16,6.1,182,9,310128
7 Pines,CSA,41,6/7/16,6.95,153,7,260712
