Site,Landscape Treatment,Bowl Location,Block,Agapostemon virescens,Agapostemon texanus,Agapostemon angelicus ,Melissodes bimaculata,Melissodes agilis ,Melissodes communis,Melissodes trinodis,Melissodes boltinae,Melissodes desponsa ,Lasioglossum E,Lasioglossum (Dialictus) ,Halictus ligatus,Halictus confusus,Halictus rubicundus ,Halictus parallelus,Halictus tripariatus,Ceratina dupla,Ceratina calcarata ,Augochlorella aurata,Augochloropsis metallica,Augochlora pura,Peponapis pruinosa,Andrena commoda,Dieunomia triangulifera ,Megachile parallela,Megachile centuncularis,Megachile brevis,Megachile campanulae,Calliopsis andreniformis,Hylaeus affinis,Hylaeus annulatus,Bombus pensylvanicus,Bombus impatiens,Bombus griseocollis,Bombus variabilis,Bombus affinis,Bombus bimaculata,Bombus citrinus ,Bombus auricomus,Bombus vagans,Eucera atriventris,Eucera hamata,Nomada vegana,Anthrophora bomboides,Svastra compta,Apis mellifera 
Oakland,Simple,Soybean,East,8,9,0,2,0,0,0,0,0,1,44,6,6,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Ivis,Simple,Soybean,West,7,2,0,1,0,0,0,0,0,0,28,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tracy 1,Simple,Soybean,West,9,12,0,4,0,1,0,0,0,1,26,6,14,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
East Dairy,Simple,Soybean,East,6,5,2,1,1,0,1,0,0,0,44,2,16,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Uthe,Simple,Soybean,East,27,30,0,8,0,0,2,1,1,0,51,6,1,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
Kostelnick,Complex,Soybean,West,2,3,0,5,1,0,0,0,0,0,46,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,7
Haglund 1,Complex,Soybean,West,18,10,0,2,0,0,0,0,1,1,60,3,2,3,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,8
Curtiss,Complex,Soybean,East,2,4,0,5,0,1,0,0,0,5,40,1,0,5,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tracy 3,Complex,Soybean,West,19,4,0,2,1,0,0,0,1,2,68,5,8,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,1,3,0,0,0,14
Ontario,Complex,Soybean,East,14,19,0,20,0,0,0,0,0,4,224,17,31,7,3,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3
River ridge,CSA,CSA,East,1,2,0,0,0,0,0,0,0,19,165,1,1,1,12,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2
Berry Patch,CSA,CSA,East,4,8,0,16,1,0,1,0,0,0,41,7,2,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,15
Mustard Seed,CSA,CSA,East,26,12,0,10,1,0,0,0,0,47,127,1,3,3,21,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,1,0,0,0,0,0,9
Black Cat,CSA,CSA,East,2,1,0,0,0,0,0,0,0,4,39,0,2,2,6,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7 pines,CSA,CSA,East,36,4,0,3,0,0,1,1,0,0,53,0,3,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Oakland,Simple,Grassystrip,East,7,10,0,3,0,1,0,0,0,0,55,5,3,1,1,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
Ivis,Simple,Grassystrip,West,9,2,0,0,0,1,0,0,0,1,30,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
Tracy 1,Simple,Grassystrip,West,12,3,0,2,0,1,0,0,1,1,31,3,6,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
East Dairy,Simple,Grassystrip,East,6,4,0,1,1,0,0,0,0,1,31,1,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12
Uthe,Simple,Grassystrip,East,39,4,0,3,0,2,3,0,2,0,77,17,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
Kostelnick,Complex,Grassystrip,West,1,2,0,0,0,0,0,0,0,3,39,0,0,1,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Haglund 1,Complex,Grassystrip,West,32,3,1,13,1,1,4,0,1,1,21,7,3,1,6,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,17
Curtiss,Complex,Grassystrip,East,0,1,0,1,0,0,0,0,0,27,64,2,1,7,19,1,0,0,4,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
Tracy 3,Complex,Grassystrip,West,16,3,0,3,0,1,2,0,2,2,63,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,2,1,1,0,0,0,0,0,0,16
Ontario,Complex,Grassystrip,East,3,5,0,16,0,1,0,0,0,8,143,10,1,4,8,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
